paper_id,title,abstract,year,venue,normalised_venue,core_rank,predicted_type,confidence,unknown_reason,matched_rules
3c6afb39a839ba22e587ff22d0039e908dc71df5,Serious Refactoring Games,"Software design issues can severely impede software development and maintenance. Thus, it is important for the success of software projects that developers are aware of bad smells in code artifacts and improve their skills to reduce these issues via refactoring. However, software refactoring is a complex activity and involves multiple tasks and aspects. Therefore, imparting competences for identifying bad smells and refactoring code efficiently is challenging for software engineering education and training. The approaches proposed for teaching software refactoring in recent years mostly concentrate on small and artificial tasks and fall short in terms of higher level competences, such as analysis and evaluation. In this paper, we investigate the possibilities and challenges of designing serious games for software refactoring on real-world code artifacts. In particular, we propose a game design, where students can compete either against a predefined benchmark (technical debt) or against each other. In addition, we describe a lightweight architecture as the technical foundation for the game design that integrates pre-existing analysis tools such as test frameworks and software-quality analyzers. Finally, we provide an exemplary game scenario to illustrate the application of serious games in a learning setting.",2019.0,Hawaii International Conference on System Sciences,hawaii international conference on system sciences,A,Unknown,0.0,no_match,
46dea637b1ebce7f2b1ceb017f7f967861eca258,EvoGraphCoder: An Evolutionary Graph-Reasoning Framework for Self-Adaptive Software Engineering,"Modern software evolves rapidly, accumulates architectural debt, and develops cross-module dependencies that complicate reliable maintenance. We present EvoGraphCoder, an evolutionary graph-reasoning framework for self-adaptive software engineering. EvoGraphCoder represents source code, tests, commit history, dependencies, performance signals, and review feedback as a relational software graph. It combines Adaptive Evolutionary Code Reasoning (AECR) with a multi-agent design consisting of the Innovator, Critic, and Historian to generate, evaluate, and refine candidate repairs over multiple cycles rather than emitting a single patch. The framework further introduces EvoGraph Memory for persistent cross-release learning and Self-Reflexive Validation for explainable pre-merge verification. Experiments on repository-level repair benchmarks show that EvoGraphCoder improves patch quality and robustness over strong baselines, while maintaining positive improvement across repeated repair cycles. These results suggest that graph-driven evolutionary reasoning with persistent memory offers a practical path toward reliable and explainable AI-assisted software maintenance.",2026.0,IEEE Access,access,A,Unknown,0.0,no_match,
49364bca6ca718cc1de89d25da3b8670bb176292,Technical Debt Management Automation: State of the Art and Future Perspectives,"Technical Debt (TD) refers to non-optimal decisions made in software projects that may lead to short-term benefits, but potentially harm the system's maintenance in the long-term. Technical debt management (TDM) refers to a set of activities that are performed to handle TD, e.g., identification. These activities can entail tasks such as code and architectural analysis, which can be time-consuming if done manually. Thus, substantial research work has focused on automating TDM tasks (e.g., automatic identification of code smells). However, there is a lack of studies that summarize current approaches in TDM automation. This can hinder practitioners in selecting optimal automation strategies to efficiently manage TD. It can also prevent researchers from understanding the research landscape and addressing the research problems that matter the most. Thus, the main objective of this study is to provide an overview of the state of the art in TDM automation, analyzing the available tools, their use, and the challenges in automating TDM. For this, we conducted a systematic mapping study (SMS), and from an initial set of 1086 primary studies, 178 were selected to answer three research questions covering different facets of TDM automation. We found 121 automation artifacts, which were classified in 4 different types (i.e., tools, plugins, scripts, and bots); the inputs/outputs and interfaces were also collected and reported. Finally, a conceptual model is proposed that synthesizes the results and allows to discuss the current state of TDM automation and related challenges. The results show that the research community has investigated to a large extent how to perform various TDM activities automatically, considering the number of studies and automation artifacts we identified. More research is needed towards fully automated TDM, specially concerning the integration of the automation artifacts.",2023.0,Information and Software Technology,information and software technology,A,Systematic Literature Review,0.667,,\bsystematic mapping study\b; \bsystematic mapping\b
4b527457628ae1344aebff13acfaf6ba827c62f3,A Survey on the Interplay between Software Engineering and Systems Engineering during SoS Architecting,"Background: The Systems Engineering and Software Engineering disciplines are highly intertwined in most modern Systems of Systems (SoS), and particularly so in industries such as defense, transportation, energy and health care. However, the combination of these disciplines during the architecting of SoS seems to be especially challenging; the literature suggests that major integration and operational issues are often linked to ambiguities and gaps between system-level and software-level architectures. Aims: The objective of this paper is to empirically investigate: 1) the state of practice on the interplay between these two disciplines in the architecting process of systems with SoS characteristics; 2) the problems perceived due to this interplay during said architecting process; and 3) the problems arising due to the particular characteristics of SoS systems. Method: We conducted a questionnaire-based online survey among practitioners from industries in the aforementioned domains, having a background on Systems Engineering, Software Engineering or both, and experience in the architecting of systems with SoS characteristics. The survey combined multiple-choice and open-ended questions, and the data collected from the 60 respondents were analyzed using quantitative and qualitative methods. Results: We found that although in most cases the software architecting process is governed by system-level requirements, the way requirements were specified by systems engineers, and the lack of domain-knowledge of software engineers, often lead to misinterpretations at software level. Furthermore, we found that unclear and/or incomplete specifications could be a common cause of technical debt in SoS projects, which is caused, in part, by insufficient interface definitions. It also appears that while the SoS concept has been adopted by some practitioners in the field, the same is not true about the existing and growing body of knowledge on the subject in Software Engineering resulting in recurring problems with system integration. Finally, while not directly related to the interplay of the two disciplines, the survey also indicates that low-level hardware components, despite being identified as the root cause of undesired emergent behavior, are often not considered when modeling or simulating the system. Conclusions: The survey indicates the need for tighter collaboration between the two disciplines, structured around concrete guidelines and practices for reconciling their differences. A number of open issues identified by this study require further investigation.",2020.0,International Symposium on Empirical Software Engineering and Measurement,empirical software engineering and measurement,A,Survey,1.0,,\bonline survey\b; \bquestionnaire\b
4e4fd4b2de610ab361ca493d33c129b5303626d1,Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review,"In modern software development, developers frequently introduce comments that describe temporary solutions, incomplete implementations, or deferred improvements. These comments, commonly referred to as Self-Admitted Technical Debt (SATD), may provide short-term flexibility but can accumulate into long-term maintenance challenges and quality degradation. This paper presents a systematic literature review of automated SATD detection research published between 2015 and 2025. Following established systematic review guidelines, we analyzed 46 primary studies selected from an initial pool of 1,537 publications. The review provides a structured synthesis of the field by: 1) identifying and categorizing the main SATD detection objectives; 2) analyzing representation techniques for textual, structural, and hybrid inputs; 3) comparing learning approaches ranging from traditional machine learning to transformer-based and large language models; and 4) summarizing evaluation practices and performance trends. Our findings reveal a clear methodological evolution from keyword-based and feature-engineered models toward context-aware and multi-modal architectures. While transformer-based approaches such as BERT and CodeBERT demonstrate strong potential, their adoption is constrained by limited benchmark datasets, inconsistent evaluation protocols, and a lack of explainability. To address these challenges, the review highlights key research gaps and outlines future directions, including standardized benchmarks, explainable SATD detection, and cross-project generalization. Overall, this study consolidates a decade of SATD research into a unified perspective and provides actionable guidance for developing more robust, interpretable, and scalable SATD detection techniques to support sustainable software maintenance.",2026.0,IEEE Access,access,A,Systematic Literature Review,1.0,,\bsystematic literature review\b; \bsystematic review\b
505331038816f08db191263c88f8cbb60bbd4199,Splicing Community and Software Architecture Smells in Agile Teams: An industrial Study,"Software engineering nowadays largely relies on agile methods to carry out software development. In often highly distributed organizations, agile teams can develop organisational and socio-technical issues loosely defined as community smells, which reflect sub-optimal organisational configurations that bear additional project cost, a phenomenon called social debt. In this paper we look into the co-occurrence of such nasty organisational phenomena—community smells—with software architecture smells—indicators that software architectures may exhibit sub-optimal modularization structures, with consequent additional cost. We conclude that community smells can serve as a guide to steer the qualities of software architectures",2019.0,Hawaii International Conference on System Sciences,hawaii international conference on system sciences,A,Unknown,0.0,no_match,
50fbf7d839ac822ea24f0ec0d4b4e9ca8799482c,"Understanding the Issues, Their Causes and Solutions in Microservices Systems: An Empirical Study","Many small to large organizations have adopted the Microservices Architecture (MSA) style to develop and deliver their core businesses. Despite the popularity of MSA in the software industry, there is a limited evidence-based and thorough understanding of the types of issues (e.g., errors, faults, failures, and bugs) that microservices system developers experience, the causes of the issues, and the solutions as potential fixing strategies to address the issues. To ameliorate this gap, we conducted a mixed-methods empirical study that collected data from 2,641 issues from the issue tracking systems of 15 open-source microservices systems on GitHub, 15 interviews, and an online survey completed by 150 practitioners from 42 countries across 6 continents. Our analysis led to comprehensive taxonomies for the issues, causes, and solutions. The findings of this study informthat Technical Debt, Continuous Integration and Delivery, Exception Handling, Service Execution and Communication, and Security are the most dominant issues in microservices systems. Furthermore, General Programming Errors, Missing Features and Artifacts, and Invalid Configuration and Communication are the main causes behind the issues. Finally, we found 177 types of solutions that can be applied to fix the identified issues. Based on our study results, we propose a future research framework that outlines key problem dimensions and actionable study strategies to support the engineering of emergent and next-generation microservices systems.",2023.0,Journal of Systems and Software,journal of systems and software,A,Unknown,0.0,tie:Survey|Empirical Study,\bempirical study\b; \bonline survey\b
537f7557036a924b2360028bda13f3da4bb37a53,Interpretable Deep Learning for Efficient Code Smell Prioritization in Software Development,"Code smells indicate potential design flaws in software systems that can impair maintainability and increase technical debt. While existing approaches have advanced code smell priortization, they often lack effective prioritization mechanisms and interpretability, hindering developers’ ability to make informed refactoring decisions. This paper presents a novel approach combining CodeBERT embeddings with Bidirectional Long Short-Term Memory (Bi-LSTM) networks for code smell prioritization, enhanced by Local Interpretable Model-agnostic Explanations (LIME) for model interpretability. The approach introduces specialized preprocessing for large-scale projects and implements a selectivity metric for validating explanation quality. Our comprehensive evaluation demonstrates that the Bi-LSTM approach consistently outperforms traditional architectures across various code smell types, achieving 0.90 across precision, recall, and F1-score metrics for complex class priortization, and precision of 0.88 with recall of 0.87 for feature envy priortization. The model also showed strong performance in identifying God classes, namely, 0.84 for precision, 0.77 for recall, and 0.89 for long methods. The integration of LIME provides developers with clear insights into the model’s decision-making process, enhancing trust and facilitating more effective refactoring decisions. This work contributes a framework that not only accurately detects and prioritizes code smells but also offers transparent, interpretable results applicable in real-world software development.",2025.0,IEEE Access,access,A,Unknown,0.0,no_match,
539e9ba60769b48e3f907db2185e2a8962a5aba9,Aspect-Oriented Modeling of Technology Heterogeneity in Microservice Architecture,"Microservice Architecture (MSA) is a novel approach for the development and deployment of service-based software systems. MSA puts a strong emphasis on loose coupling and high cohesion of services. This increases service-specific independence, which is considered to result in a better scalability, adaptability, and quality of software architectures. Another perceived benefit of adopting MSA is technology heterogeneity. Microservice teams are free to employ the technologies they deem to be most appropriate for service implementation and operation. However, technology heterogeneity increases the number of technologies in a microservice architecture with the risk to introduce technical debt and steeper learning curves for team members. In this paper, we present an approach to streamline the usage of different technologies in MSA-based software systems. It employs Aspect-oriented Modeling to make technology decisions in microservice architectures explicit and enable reasoning about them. Therefore, a set of languages for model-driven microservice development is extended with means to define, modularize, and apply MSA technology aspects. The usage and characteristics of our approach are shown and discussed in the context of a case study from the mobility domain.",2019.0,International Conference on Software Architecture,software architecture,A,Case Study,1.0,,\bcase study\b
53f2348902e3bfdbcc118ed20824684cc25f156a,Automatically Learning Patterns for Self-Admitted Technical Debt Removal,"Technical Debt (TD) expresses the need for improvements in a software system, e.g., to its source code or architecture. In certain circumstances, developers “self-admit” technical debt (SATD) in their source code comments. Previous studies investigate when SATD is admitted, and what changes developers perform to remove it. Building on these studies, we present a first step towards the automated recommendation of SATD removal strategies. By leveraging a curated dataset of SATD removal patterns, we build a multi-level classifier capable of recommending six SATD removal strategies, e.g., changing API calls, conditionals, method signatures, exception handling, return statements, or telling that a more complex change is needed. SARDELE (SAtd Removal using DEep LEarning) combines a convolutional neural network trained on embeddings extracted from the SATD comments with a recurrent neural network trained on embeddings extracted from the SATD-affected source code. Our evaluation reveals that SARDELE is able to predict the type of change to be applied with an average precision of ~55%, recall of ~ 57%, and AUC of 0.73, reaching up to 73% precision, 63% recall, and 0.74 AUC for certain categories such as changes to method calls. Overall, results suggest that SATD removal follows recurrent patterns and indicate the feasibility of supporting developers in this task with automated recommenders.",2020.0,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",software analysis evolution and reengineering,A,Unknown,0.0,no_match,
54729154469a587f9059e7b8d0646f042d0f4339,"Software Development Data for Architecture Analysis: Expectations, Reality, and Future Directions","Recently we have worked with a dozen industrial collaborators to pinpoint and quantify architecture debts, from multi-national corporations to startup companies. Our technology leverages a wide range of project data, from source file dependencies to issue records, and we interacted with projects of various sizes and characteristics. Crossing the border between research and practice, we have observed significant gaps in terms of data availability and quality among projects of different kinds. Compared with successful open source projects, data from proprietary projects are rarely complete or well-organized. Consequently, not all projects can benefit from all the features and analyses we provide. This, in turn, made them realize they needed to improve their development processes. In this talk, we categorize the commonly observed differences between open source and proprietary project data, analyze the reasons for such differences, and propose suggestions to minimize the gaps, to facilitate advances to both software research and practice.",2020.0,2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),software engineering,A*,Unknown,0.0,no_match,
5b3c62de27f4d3473909bf6c00880c542556985e,Analyzing the concept of technical debt in the context of agile software development: A systematic literature review,"Abstract Context Technical debt (TD) is a metaphor that is used to communicate the consequences of poor software development practices to non-technical stakeholders. In recent years, it has gained significant attention in agile software development (ASD). Objective The purpose of this study is to analyze and synthesize the state of the art of TD, and its causes, consequences, and management strategies in the context of ASD. Research Method Using a systematic literature review (SLR), 38 primary studies, out of 346 studies, were identified and analyzed. Results We found five research areas of interest related to the literature of TD in ASD. Among those areas, “managing TD in ASD” received the highest attention, followed by “architecture in ASD and its relationship with TD”. In addition, eight categories regarding the causes and five categories regarding the consequences of incurring TD in ASD were identified. “Focus on quick delivery” and “architectural and design issues” were the most popular causes of incurring TD in ASD. “Reduced productivity”, “system degradation” and “increased maintenance cost” were identified as significant consequences of incurring TD in ASD. Additionally, we found 12 strategies for managing TD in the context of ASD, out of which “refactoring” and “enhancing the visibility of TD” were the most significant. Conclusion The results of this study provide a structured synthesis of TD and its management in the context of ASD as well as potential research areas for further investigation.",2017.0,Information and Software Technology,information and software technology,A,Systematic Literature Review,1.0,,\bsystematic literature review\b
5dbd353561fe47f98ac443412e7c77b9d57c3655,Microservices-Driven Automation in Full-Stack Development: Bridging Efficiency and Innovation With FSMicroGenerator,"The development of modern web applications presents major challenges due to increasingly complex architectures, scalability requirements, and the need to reduce time to market. These challenges are exacerbated by the shortage of talent, making the implementation of modern architectures more difficult for many companies. In response, this article presents FSMicroGenerator, an innovative code generation tool based on a low-code approach, which exploits UML class diagrams and templates to generate multilingual, full-stack web applications based on a microservices architecture. FSMicroGenerator automates the entire process of creating IT solutions, from development to deployment, reducing technical barriers and technical debt, and enabling teams to focus on business innovation while ensuring compliance with industry standards and best practices. By facilitating the adoption of DevSecOps practices, it improves collaboration between the development and operations teams, ensuring that security is integrated at every stage of the development process. This enables continuous management of the application lifecycle, faster and more reliable releases, and proactive identification and mitigation of security vulnerabilities. FSMicroGenerator also stands out for its ability to create a catalog of ready-to-use functional blocks, enabling their reuse and integration into other solutions. In addition, it offers a secure ecosystem, protecting companies’ assets against the risks of data exposure and leakage thanks to a robust architecture and integrated security mechanisms. As part of our open innovation approach, we plan to make FSMicroGenerator open source, to broaden its adoption and enable the community to contribute to its continuous improvement.",2025.0,IEEE Access,access,A,Unknown,0.0,no_match,
5e8d6efd9e15ad541bbe114701496c7bbf235fa5,Combining Insights from Multiple Tools to Manage Technical Debt in Industrial C# Projects,"Technical Debt (TD) is a critical challenge in software development, leading to increased maintenance costs and reduced software quality over time. While considerable research has focused on identifying and managing TD in Java projects, studies on. NET (C#) projects remain limited. Additionally, existing approaches often rely on a single tool for TD detection, overlooking the benefits of combining multiple tools. In this paper, we analyze the effectiveness of Arcan, CodeScene, Designite, and DV8 on four industrial C#. NET 8 software products to address these research gaps. To validate and enrich our findings, we conducted online seminars and interviews with developers, architects, and managers involved in these projects, gathering practitioner insights on TD relevance and tool effectiveness. By leveraging complementary tools and practitioner feedback, we uncover different types of TD, including code-level, design, architectural, and knowledge debt. Our findings highlight each tool's strengths and limitations and demonstrate how integrating their outputs with expert input provides a more comprehensive and actionable TD assessment. Based on these insights, we propose a conceptual model for prioritizing and managing TD, offering guidance for practitioners.",2025.0,IEEE International Conference on Software Maintenance and Evolution,software maintenance and evolution,A,Theoretical Contribution,1.0,,\bconceptual model\b
